name	component	type	tracked_point	units
Leap_Root_Xrotation	n/a	LATENCY	n/a	s
Leap_Root_Yrotation	n/a	LATENCY	n/a	s
Leap_Root_Zrotation	n/a	LATENCY	n/a	s
RightElbow_Xrotation	n/a	LATENCY	n/a	s
RightElbow_Yrotation	n/a	LATENCY	n/a	s
RightElbow_Zrotation	n/a	LATENCY	n/a	s
RightHand_Xrotation	n/a	LATENCY	n/a	s
RightHand_Yrotation	n/a	LATENCY	n/a	s
RightHand_Zrotation	n/a	LATENCY	n/a	s
RightHandIndex1_Xrotation	n/a	LATENCY	n/a	s
RightHandIndex1_Yrotation	n/a	LATENCY	n/a	s
RightHandIndex1_Zrotation	n/a	LATENCY	n/a	s
RightHandIndex2_Xrotation	n/a	LATENCY	n/a	s
RightHandIndex2_Yrotation	n/a	LATENCY	n/a	s
RightHandIndex2_Zrotation	n/a	LATENCY	n/a	s
RightHandIndex3_Xrotation	n/a	LATENCY	n/a	s
RightHandIndex3_Yrotation	n/a	LATENCY	n/a	s
RightHandIndex3_Zrotation	n/a	LATENCY	n/a	s
RightHandIndex4_Xrotation	n/a	LATENCY	n/a	s
RightHandIndex4_Yrotation	n/a	LATENCY	n/a	s
RightHandIndex4_Zrotation	n/a	LATENCY	n/a	s
RightHandMiddle1_Xrotation	n/a	LATENCY	n/a	s
RightHandMiddle1_Yrotation	n/a	LATENCY	n/a	s
RightHandMiddle1_Zrotation	n/a	LATENCY	n/a	s
RightHandMiddle2_Xrotation	n/a	LATENCY	n/a	s
RightHandMiddle2_Yrotation	n/a	LATENCY	n/a	s
RightHandMiddle2_Zrotation	n/a	LATENCY	n/a	s
RightHandMiddle3_Xrotation	n/a	LATENCY	n/a	s
RightHandMiddle3_Yrotation	n/a	LATENCY	n/a	s
RightHandMiddle3_Zrotation	n/a	LATENCY	n/a	s
RightHandMiddle4_Xrotation	n/a	LATENCY	n/a	s
RightHandMiddle4_Yrotation	n/a	LATENCY	n/a	s
RightHandMiddle4_Zrotation	n/a	LATENCY	n/a	s
RightHandPinky1_Xrotation	n/a	LATENCY	n/a	s
RightHandPinky1_Yrotation	n/a	LATENCY	n/a	s
RightHandPinky1_Zrotation	n/a	LATENCY	n/a	s
RightHandPinky2_Xrotation	n/a	LATENCY	n/a	s
RightHandPinky2_Yrotation	n/a	LATENCY	n/a	s
RightHandPinky2_Zrotation	n/a	LATENCY	n/a	s
RightHandPinky3_Xrotation	n/a	LATENCY	n/a	s
RightHandPinky3_Yrotation	n/a	LATENCY	n/a	s
RightHandPinky3_Zrotation	n/a	LATENCY	n/a	s
RightHandPinky4_Xrotation	n/a	LATENCY	n/a	s
RightHandPinky4_Yrotation	n/a	LATENCY	n/a	s
RightHandPinky4_Zrotation	n/a	LATENCY	n/a	s
RightHandRing1_Xrotation	n/a	LATENCY	n/a	s
RightHandRing1_Yrotation	n/a	LATENCY	n/a	s
RightHandRing1_Zrotation	n/a	LATENCY	n/a	s
RightHandRing2_Xrotation	n/a	LATENCY	n/a	s
RightHandRing2_Yrotation	n/a	LATENCY	n/a	s
RightHandRing2_Zrotation	n/a	LATENCY	n/a	s
RightHandRing3_Xrotation	n/a	LATENCY	n/a	s
RightHandRing3_Yrotation	n/a	LATENCY	n/a	s
RightHandRing3_Zrotation	n/a	LATENCY	n/a	s
RightHandRing4_Xrotation	n/a	LATENCY	n/a	s
RightHandRing4_Yrotation	n/a	LATENCY	n/a	s
RightHandRing4_Zrotation	n/a	LATENCY	n/a	s
RightHandThumb2_Xrotation	n/a	LATENCY	n/a	s
RightHandThumb2_Yrotation	n/a	LATENCY	n/a	s
RightHandThumb2_Zrotation	n/a	LATENCY	n/a	s
RightHandThumb3_Xrotation	n/a	LATENCY	n/a	s
RightHandThumb3_Yrotation	n/a	LATENCY	n/a	s
RightHandThumb3_Zrotation	n/a	LATENCY	n/a	s
RightHandThumb4_Xrotation	n/a	LATENCY	n/a	s
RightHandThumb4_Yrotation	n/a	LATENCY	n/a	s
RightHandThumb4_Zrotation	n/a	LATENCY	n/a	s
LATENCY	n/a	LATENCY	n/a	s
