name	component	type	tracked_point	units
FD_THUMBNEAR	x	JNTANG	THUMBNEAR	n/a
FD_THUMBFAR	x	JNTANG	THUMBFAR	n/a
FD_THUMBINDEX	y	JNTANG	THUMBINDEX	n/a
FD_INDEXNEAR	x	JNTANG	INDEXNEAR	n/a
FD_INDEXFAR	x	JNTANG	INDEXFAR	n/a
FD_INDEXMIDDLE	y	JNTANG	INDEXMIDDLE	n/a
FD_MIDDLENEAR	x	JNTANG	MIDDLENEAR	n/a
FD_MIDDLEFAR	x	JNTANG	MIDDLEFAR	n/a
FD_MIDDLERING	y	JNTANG	MIDDLERING	n/a
FD_RINGNEAR	x	JNTANG	RINGNEAR	n/a
FD_RINGFAR	x	JNTANG	RINGFAR	n/a
FD_RINGLITTLE	y	JNTANG	RINGLITTLE	n/a
FD_LITTLENEAR	x	JNTANG	LITTLENEAR	n/a
FD_LITTLEFAR	x	JNTANG	LITTLEFAR	n/a
LATENCY	n/a	LATENCY	n/a	s
